ubigeo,n_facilities,mean,max,emergencias_total
EL CARMEN,3.0,8555.288712544858,8619.646812871639,
EL CARMEN DE LA FRONTERA,9.0,9438.880953845932,9453.174919656927,
EL CENEPA,11.0,9520.4778099315,9613.842750775642,
EL ESLABON,2.0,9231.276409074319,9236.286404663031,
EL INGENIO,3.0,8396.939836776633,8403.956078146244,
EL MANTARO,1.0,8705.055953654675,8707.217398145764,
EL MILAGRO,5.0,9369.821079694286,9384.169796205404,
EL ORO,1.0,8458.97005172026,8463.856620243227,
EL PARCO,3.0,9378.450887667717,9379.35716447661,
EL PORVENIR,15.0,9311.251065614495,9329.986248516874,
EL PRADO,5.0,9218.269088389921,9224.317469536174,
EL TALLAN,2.0,9397.804264316192,9400.348177206102,
EL TAMBO,20.0,8684.199147047584,8693.669787239016,
ELEAZAR GUZMAN BARRON,2.0,9020.804730213697,9023.652119834982,
ELIAS SOPLIN VARGAS,6.0,9337.62207872238,9342.965829200184,
EMILIO SA MARTIN,,9358.8101572874,9390.95271423333,
EMILIO SAN MARTIN,2.0,9372.930036337795,9407.863782002405,
ENCAÑADA,11.0,9225.496114194035,9246.316011149369,
ESPINAR,4.0,8396.849771214085,8416.467579271004,
ESTIQUE,1.0,8111.06742580248,8122.090690582496,
ESTIQUE PAMPA,1.0,,,
ESTIQUE-PAMPA,,8115.194010453842,8119.399341411399,
ETEN PUERTO,1.0,9231.781570578243,9231.781570578243,
FERNANDO LORES,12.0,9569.717091992768,9603.659580456351,
FERREÑAFE,2.0,9265.62519617485,9270.745292864813,
FIDEL OLIVAS ESCUDERO,2.0,9031.211636623802,9036.806332140279,
FITZCARRALD,3.0,8723.675942554264,8756.787382409018,
FLORENCIA DE MORA,5.0,9104.490923760337,9104.490923760337,
FLORIDA,3.0,9357.473694378303,9363.3353300201,
FRONTERA,,9717.363376261057,10008.094629599293,
FUNDICION DE TINYAHUARCO,,8816.633535002642,8816.633535002642,
GAMARRA,,8505.963587209115,8511.560129400805,
GORGOR,1.0,8830.420759745355,8836.581525687563,
GOYLLARIQUIZGA,,8847.640722625945,8849.247443886701,
GOYLLARISQUIZGA,1.0,8845.811966843088,8847.935606180918,
GRANADA,1.0,9326.147078724278,9331.366022636133,
